ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;17;7;7:00;76
LEMD_DCL;17;7;8:00;89
LEMD_DCL;17;7;9:00;75
LEMD_DCL;17;7;10:00;76
LEMD_DCL;17;7;11:00;66
LEMD_DCL;17;7;12:00;81
LEMD_DCL;17;7;13:00;97
LEMD_DCL;17;7;14:00;74
LEMD_DCL;17;7;15:00;42
LEMD_DCL;17;7;16:00;70
LEMD_DCL;17;7;17:00;70
LEMD_DCL;17;7;18:00;74
LEMD_DCL;17;7;19:00;73
LEMD_DCL;17;7;20:00;69
LEMD_DCL;17;7;21:00;49
LEMD_DCL;17;7;22:00;18
LEMD_DCL;17;7;23:00;4
LEMD_DCL;18;7;0:00;2
LEMD_DCL;18;7;1:00;2
LEMD_DCL;18;7;2:00;5
LEMD_DCL;18;7;3:00;17
LEMD_DCL;18;7;4:00;44
LEMD_DCL;18;7;5:00;70
LEMD_DCL;18;7;6:00;70
LEMD_DCL;18;7;7:00;74
LEMD_DCL;18;7;8:00;81
LEMD_DCL;18;7;9:00;80
LEMD_DCL;18;7;10:00;75
LEMD_DCL;18;7;11:00;67
LEMD_DCL;18;7;12:00;87
LEMD_DCL;18;7;13:00;97
LEMD_DCL;18;7;14:00;78
LEMD_DCL;18;7;15:00;48
LEMD_DCL;18;7;16:00;61
LEMD_DCL;18;7;17:00;71
LEMD_DCL;18;7;18:00;79
LEMD_DCL;18;7;19:00;74
LEMD_DCL;18;7;20:00;70
LEMD_DCL;18;7;21:00;50
LEMD_DCL;18;7;22:00;21
LEMD_DCL;18;7;23:00;5
LEMD_DCL;19;7;0:00;2
LEMD_DCL;19;7;1:00;2
LEMD_DCL;19;7;2:00;5
LEMD_DCL;19;7;3:00;16
LEMD_DCL;19;7;4:00;45
LEMD_DCL;19;7;5:00;72
LEMD_DCL;19;7;6:00;66
LEMD_DCL;19;7;7:00;74
LEMD_DCL;19;7;8:00;87
LEMD_DCL;19;7;9:00;82
LEMD_DCL;19;7;10:00;73
LEMD_DCL;19;7;11:00;69
LEMD_DCL;19;7;12:00;89
LEMD_DCL;19;7;13:00;91
LEMD_DCL;19;7;14:00;81
LEMD_DCL;19;7;15:00;49
